featureid	f.var.fixed	f.var.random	f.var.residual	assay	icc
Flow cytometry: T cell staining_lymphocytes_single_cells_live_t_cells_cd8_t_cells_q5_klrg1neg_cd57pos	0.164913889770021	0.76885015860646	0.066235951623519	<b>Flow cytometry</b>: immune cells	0.76885015860646
Flow cytometry: T cell staining_lymphocytes_single_cells_live_t_cells_cd8_t_cells_q7_klrg1pos_cd57neg	0.200325624753541	0.737475418136908	0.062198957109551	<b>Flow cytometry</b>: immune cells	0.737475418136908
Flow cytometry: T cell staining_lymphocytes_single_cells_live_t_cells_cd8_t_cells_q8_klrg1neg_cd57neg	0.313775426744892	0.562611622629548	0.12361295062556	<b>Flow cytometry</b>: immune cells	0.562611622629548
Flow cytometry: T cell staining_lymphocytes_single_cells_live_t_cells_cd8_t_cells_temra	0.182015842394085	0.685379924897837	0.132604232708078	<b>Flow cytometry</b>: immune cells	0.685379924897837
Flow cytometry: T cell staining_lymphocytes_single_cells_live_t_cells_cd8_t_cells_tregs	0.0830142723393145	0.777400798277898	0.139584929382787	<b>Flow cytometry</b>: immune cells	0.777400798277898
Flow cytometry: white blood cell staining_cells_single_cells_live_b_cells_freq_of_parent	0.154638700566564	0.691549049595891	0.153812249837545	<b>Flow cytometry</b>: immune cells	0.691549049595891
Flow cytometry: white blood cell staining_cells_single_cells_live_cd3neg_cytotoxic_freq_of_live	0.203573366409628	0.571175633675677	0.225250999914695	<b>Flow cytometry</b>: immune cells	0.571175633675677
Flow cytometry: white blood cell staining_cells_single_cells_live_cd3neg_cytotoxic_cd94pos_freq_of_parent	0.064696100580489	0.904462336222657	0.0308415631968539	<b>Flow cytometry</b>: immune cells	0.904462336222657
Flow cytometry: white blood cell staining_cells_single_cells_live_cd3neg_cytotoxic_ki_rs_freq_of_parent	0.0765369057823589	0.871840394307241	0.0516226999103998	<b>Flow cytometry</b>: immune cells	0.871840394307241
Flow cytometry: white blood cell staining_cells_single_cells_live_cd3neg_defective_freq_of_live	0.0549284460238837	0.608222747081568	0.336848806894549	<b>Flow cytometry</b>: immune cells	0.608222747081568
Flow cytometry: white blood cell staining_cells_single_cells_live_cd3neg_defective_cd94pos_freq_of_parent	0.100176683531387	0.680847909941006	0.218975406527607	<b>Flow cytometry</b>: immune cells	0.680847909941006
Flow cytometry: white blood cell staining_cells_single_cells_live_cd3neg_defective_ki_rs_freq_of_parent	0.0421120925791564	0.334394836413873	0.623493071006971	<b>Flow cytometry</b>: immune cells	0.334394836413873
Flow cytometry: white blood cell staining_cells_single_cells_live_cd3neg_regulatory_freq_of_live	0.0519479913919855	0.611035191808435	0.337016816799579	<b>Flow cytometry</b>: immune cells	0.611035191808435
Flow cytometry: white blood cell staining_cells_single_cells_live_cd3neg_regulatory_cd94pos_freq_of_parent	0.0362487390822889	0.716195593688233	0.247555667229478	<b>Flow cytometry</b>: immune cells	0.716195593688234
Flow cytometry: white blood cell staining_cells_single_cells_live_cd3neg_regulatory_ki_rs_freq_of_parent	0.0505121861629624	0.764525658271885	0.184962155565152	<b>Flow cytometry</b>: immune cells	0.764525658271885
Flow cytometry: white blood cell staining_cells_single_cells_live_monocytes_freq_of_parent	0.0601227145645479	0.595194272577436	0.344683012858016	<b>Flow cytometry</b>: immune cells	0.595194272577436
Flow cytometry: white blood cell staining_cells_single_cells_live_monocytes_classical_freq_of_parent	0.128262313753029	0.598856316972296	0.272881369274675	<b>Flow cytometry</b>: immune cells	0.598856316972296
Flow cytometry: white blood cell staining_cells_single_cells_live_monocytes_intermediate_freq_of_parent	0.044696390530653	0.516840570531655	0.438463038937692	<b>Flow cytometry</b>: immune cells	0.516840570531655
Flow cytometry: white blood cell staining_cells_single_cells_live_monocytes_nonnegclassical_freq_of_parent	0.109206032023806	0.640089727536472	0.250704240439722	<b>Flow cytometry</b>: immune cells	0.640089727536472
Flow cytometry: white blood cell staining_cells_single_cells_live_nk_t_cells_freq_of_parent	0.313051175600468	0.603343019866027	0.0836058045335053	<b>Flow cytometry</b>: immune cells	0.603343019866027
Flow cytometry: white blood cell staining_cells_single_cells_live_t_cells_freq_of_parent	0.0541742524344887	0.689275572918976	0.256550174646535	<b>Flow cytometry</b>: immune cells	0.689275572918976
Flow cytometry: white blood cell staining_cells_single_cells_live_t_cells_cd4_t_cells_freq_of_parent	0.0775529768478891	0.755523910697858	0.166923112454253	<b>Flow cytometry</b>: immune cells	0.755523910697858
Flow cytometry: white blood cell staining_cells_single_cells_live_t_cells_cd4_t_cells_cd56_freq_of_parent	0.105820887201508	0.801480154150738	0.0926989586477543	<b>Flow cytometry</b>: immune cells	0.801480154150738
Flow cytometry: white blood cell staining_cells_single_cells_live_t_cells_cd4_t_cells_cd94_freq_of_parent	0.132520692528144	0.633118529316696	0.23436077815516	<b>Flow cytometry</b>: immune cells	0.633118529316696
Flow cytometry: white blood cell staining_cells_single_cells_live_t_cells_cd4_t_cells_ki_rs_freq_of_parent	0.0629370117173996	0.24310738431476	0.69395560396784	<b>Flow cytometry</b>: immune cells	0.24310738431476
Flow cytometry: white blood cell staining_cells_single_cells_live_t_cells_cd8_t_cells_freq_of_parent	0.0359919477239151	0.78608630097007	0.177921751306015	<b>Flow cytometry</b>: immune cells	0.78608630097007
Flow cytometry: white blood cell staining_cells_single_cells_live_t_cells_cd8_t_cells_cd56_freq_of_parent	0.373939254564887	0.574012542721572	0.0520482027135408	<b>Flow cytometry</b>: immune cells	0.574012542721572
Flow cytometry: white blood cell staining_cells_single_cells_live_t_cells_cd8_t_cells_cd94_freq_of_parent	0.226822885928647	0.680436590771413	0.0927405232999406	<b>Flow cytometry</b>: immune cells	0.680436590771413
Flow cytometry: white blood cell staining_cells_single_cells_live_t_cells_cd8_t_cells_ki_rs_freq_of_parent	0.133502236713172	0.736512647845849	0.129985115440978	<b>Flow cytometry</b>: immune cells	0.736512647845849
Flow cytometry: white blood cell staining_cells_single_cells_live_b_cells_memory_b_cells_freq_of_parent	0.135195938835542	0.805159864530469	0.0596441966339887	<b>Flow cytometry</b>: immune cells	0.805159864530469
Flow cytometry: white blood cell staining_cells_single_cells_live_b_cells_naive_b_cells_freq_of_parent	0.132425050215421	0.806301641089752	0.0612733086948268	<b>Flow cytometry</b>: immune cells	0.806301641089752
Flow cytometry: white blood cell staining_cells_single_cells_live_cd19pos_plasma_cells_freq_of_live	0.165622990880937	0.381471143660631	0.452905865458432	<b>Flow cytometry</b>: immune cells	0.381471143660631
Functional sports exam_fvcpp	0.0359084822700923	0.903421628972701	0.0606698887572067	<b>Functional clinical features</b>	0.903421628972701
Functional sports exam_fev1pp	0.0618796012966063	0.854947213928045	0.0831731847753491	<b>Functional clinical features</b>	0.854947213928045
Functional sports exam_fev1fvcp	0.055270165459573	0.811500861581094	0.133228972959333	<b>Functional clinical features</b>	0.811500861581094
Functional sports exam_relpower60hf	0.0653260670288783	0.256640112287105	0.678033820684017	<b>Functional clinical features</b>	0.256640112287105
Functional sports exam_relpower80hf	0.0519010071598297	0.772606461075927	0.175492531764243	<b>Functional clinical features</b>	0.772606461075927
Functional sports exam_relmaxcap	0.110824648287161	0.820536647552281	0.0686387041605585	<b>Functional clinical features</b>	0.820536647552281
Functional sports exam_vo2max	0.10223980240319	0.852112144993723	0.0456480526030871	<b>Functional clinical features</b>	0.852112144993723
Functional sports exam_maxhr	0.318259785916061	0.460602953571218	0.221137260512722	<b>Functional clinical features</b>	0.460602953571218
Functional sports exam_hba1c	0.214859659093061	0.538919528301649	0.24622081260529	<b>Routine bloods</b>	0.538919528301649
Functional sports exam_cholesterol	0.173316411539193	0.645971580647506	0.180712007813301	<b>Routine bloods</b>	0.645971580647506
Functional sports exam_hdl	0.0306224564889815	0.755781794389811	0.213595749121207	<b>Routine bloods</b>	0.755781794389811
Functional sports exam_ldl	0.177997717454431	0.677102423791087	0.144899858754483	<b>Routine bloods</b>	0.677102423791087
Functional sports exam_nhdl	0.162470058011457	0.722486376039607	0.115043565948936	<b>Routine bloods</b>	0.722486376039607
Functional sports exam_triglycerides	0.0700029020309033	0.791412930009654	0.138584167959442	<b>Routine bloods</b>	0.791412930009654
Functional sports exam_urea	0.494247830764269	0.29374589911472	0.212006270121011	<b>Routine bloods</b>	0.29374589911472
Functional sports exam_creatinine	0.0537168358081613	0.844841456024457	0.101441708167381	<b>Routine bloods</b>	0.844841456024457
Functional sports exam_totalprotein	0.0543586083899117	0.445090172313178	0.50055121929691	<b>Routine bloods</b>	0.445090172313178
Functional sports exam_bilirubin	0.0952031789793377	0.593089236080242	0.31170758494042	<b>Routine bloods</b>	0.593089236080242
Functional sports exam_uricacid	0.0865177012206929	0.607024386266579	0.306457912512728	<b>Routine bloods</b>	0.607024386266579
Functional sports exam_asat	0.0568965838105455	0.564507561417815	0.378595854771639	<b>Routine bloods</b>	0.564507561417815
Functional sports exam_alat	0.0631165339025506	0.731319313601387	0.205564152496062	<b>Routine bloods</b>	0.731319313601387
Functional sports exam_ggt	0.151752468725039	0.823272180681323	0.0249753505936376	<b>Routine bloods</b>	0.823272180681323
Functional sports exam_ck	0.204233590259019	0.567086215314972	0.22868019442601	<b>Routine bloods</b>	0.567086215314972
Functional sports exam_alp	0.117495263779377	0.845323767909624	0.0371809683109994	<b>Routine bloods</b>	0.845323767909624
Functional sports exam_ldh	0.0383045356125045	0.500576909343214	0.461118555044281	<b>Routine bloods</b>	0.500576909343214
Functional sports exam_iron	0.0230616907378455	0.0087706960778459	0.968167613184309	<b>Routine bloods</b>	0.0087706960778459
Functional sports exam_transferrin	0.00744786837018695	0.777009856308232	0.215542275321581	<b>Routine bloods</b>	0.777009856308232
Functional sports exam_ferritin	0.11589331413923	0.833767964992332	0.050338720868438	<b>Functional clinical features</b>	0.833767964992332
Functional sports exam_transferrinsat	0.0218944975073195	0.0187942332752825	0.959311269217398	<b>Routine bloods</b>	0.0187942332752825
Functional sports exam_sedrate	0.0719260319830858	0.773924326545096	0.154149641471818	<b>Routine bloods</b>	0.773924326545096
Functional sports exam_plateletvol	0.181498719678293	0.750626089852783	0.0678751904689241	<b>Routine bloods</b>	0.750626089852783
Functional sports exam_segneutrophils	0.16257879901712	0.607585540744308	0.229835660238573	<b>Routine bloods</b>	0.607585540744308
Functional sports exam_lymphocytes	0.140419004760185	0.673421679270485	0.18615931596933	<b>Routine bloods</b>	0.673421679270485
Functional sports exam_vitb9	0.0980437304396142	0.410153270276109	0.491802999284276	<b>Routine bloods</b>	0.410153270276109
Functional sports exam_vitb12	0.0887928233353731	0.813157078852241	0.0980500978123858	<b>Routine bloods</b>	0.813157078852241
Functional sports exam_tsh	0.0409149820863464	0.876348758303801	0.0827362596098528	<b>Routine bloods</b>	0.876348758303801
Functional sports exam_sysbp	0.170791678880456	0.530802898865947	0.298405422253597	<b>Functional clinical features</b>	0.530802898865947
Functional sports exam_diabp	0.179638511338689	0.589497776731982	0.230863711929329	<b>Functional clinical features</b>	0.589497776731982
Saliva microbiome: ASVs.clr_ASV_13c_4jq_sf7	0.0830421952193222	0.646312982976179	0.270644821804499	<b>Saliva microbiome</b>: ASVs.clr	0.646312982976179
Saliva microbiome: ASVs.clr_ASV_13k_w96_kh5	0.120506452607783	0.468366544421358	0.411127002970859	<b>Saliva microbiome</b>: ASVs.clr	0.468366544421358
Saliva microbiome: ASVs.clr_ASV_190_n3s_o96	0.0285659765269999	0.736344119652534	0.235089903820466	<b>Saliva microbiome</b>: ASVs.clr	0.736344119652534
Saliva microbiome: ASVs.clr_ASV_1ah_swy_sxw	0.0528646772841083	0.348532546188137	0.598602776527754	<b>Saliva microbiome</b>: ASVs.clr	0.348532546188137
Saliva microbiome: ASVs.clr_ASV_1c6_j8g_id1	0.118551276579946	0.582182527860111	0.299266195559943	<b>Saliva microbiome</b>: ASVs.clr	0.582182527860111
Saliva microbiome: ASVs.clr_ASV_1e9_fjp_mrb	0.0587051146472675	0.741519738279918	0.199775147072815	<b>Saliva microbiome</b>: ASVs.clr	0.741519738279917
Saliva microbiome: ASVs.clr_ASV_1hu_o56_tqc	0.0412966341649208	0.281277065262085	0.677426300572994	<b>Saliva microbiome</b>: ASVs.clr	0.281277065262085
Saliva microbiome: ASVs.clr_ASV_1mh_g5b_5nf	0.0307791346471413	0.505569772855411	0.463651092497447	<b>Saliva microbiome</b>: ASVs.clr	0.505569772855411
Saliva microbiome: ASVs.clr_ASV_1q8_7el_tso	0.0543949314315289	0.49373337703471	0.451871691533761	<b>Saliva microbiome</b>: ASVs.clr	0.49373337703471
