sampletype	type	rowname	value
buccal	Former smoker (control)	distal_epithelial_hyperM	-0.820032556074474
buccal	Former smoker (control)	epithelial_hypoM	-0.369253719836486
buccal	Former smoker (control)	immune_hypoM	-0.105816123543247
buccal	Former smoker (control)	proximal_epithelial_hyperM	-0.353766827598061
buccal	Former smoker (control)	distal_epithelial_hyperM	0.301948297722295
buccal	Former smoker (control)	epithelial_hypoM	-0.64237927527099
buccal	Former smoker (control)	immune_hypoM	-0.67294218072193
buccal	Former smoker (control)	proximal_epithelial_hyperM	-0.294598868077365
buccal	Former smoker (control)	distal_epithelial_hyperM	-1.93844967526787
buccal	Former smoker (control)	epithelial_hypoM	-0.493526959994287
buccal	Former smoker (control)	immune_hypoM	-0.00391437143828101
buccal	Former smoker (control)	proximal_epithelial_hyperM	-1.44564527431026
buccal	Former smoker (control)	distal_epithelial_hyperM	0.630511886477674
buccal	Former smoker (control)	epithelial_hypoM	-0.565857114831671
buccal	Former smoker (control)	immune_hypoM	-0.372643570687279
buccal	Former smoker (control)	proximal_epithelial_hyperM	0.0585029658557689
buccal	Former smoker (control)	distal_epithelial_hyperM	-0.910218605594879
buccal	Former smoker (control)	epithelial_hypoM	-0.645579018507357
buccal	Former smoker (control)	immune_hypoM	-0.229246589278948
buccal	Former smoker (control)	proximal_epithelial_hyperM	0.00596302924691435
buccal	Former smoker (control)	distal_epithelial_hyperM	1.29165390918304
buccal	Former smoker (control)	epithelial_hypoM	0.098309975698802
buccal	Former smoker (control)	immune_hypoM	-0.0943468195212336
buccal	Former smoker (control)	proximal_epithelial_hyperM	0.714931971251966
buccal	Former smoker (control)	distal_epithelial_hyperM	-0.251745829057107
buccal	Former smoker (control)	epithelial_hypoM	-0.604963728920882
buccal	Former smoker (control)	immune_hypoM	-0.167957281539082
buccal	Former smoker (control)	proximal_epithelial_hyperM	-0.456550821933591
buccal	Former smoker (control)	distal_epithelial_hyperM	-0.10166196096745
buccal	Former smoker (control)	epithelial_hypoM	-0.628273088493464
buccal	Former smoker (control)	immune_hypoM	-0.441837544162964
buccal	Former smoker (control)	proximal_epithelial_hyperM	0.317018730225832
buccal	Former smoker (control)	distal_epithelial_hyperM	-1.01357758104305
buccal	Former smoker (control)	epithelial_hypoM	-0.72872931168978
buccal	Former smoker (control)	immune_hypoM	-0.721536371870524
buccal	Former smoker (control)	proximal_epithelial_hyperM	-0.532468056186463
buccal	Former smoker (control)	distal_epithelial_hyperM	0.489619833788445
buccal	Former smoker (control)	epithelial_hypoM	-0.470911936195902
buccal	Former smoker (control)	immune_hypoM	1.35180889380552
buccal	Former smoker (control)	proximal_epithelial_hyperM	-0.694588350486159
buccal	Former smoker (control)	distal_epithelial_hyperM	1.2406122574133
buccal	Former smoker (control)	epithelial_hypoM	-0.703026559561168
buccal	Former smoker (control)	immune_hypoM	-0.45797454932446
buccal	Former smoker (control)	proximal_epithelial_hyperM	-0.284609442154652
buccal	Former smoker (control)	distal_epithelial_hyperM	-0.443231392481726
buccal	Former smoker (control)	epithelial_hypoM	0.155006666950534
buccal	Former smoker (control)	immune_hypoM	-0.290395246513076
buccal	Former smoker (control)	proximal_epithelial_hyperM	0.0758567320848419
buccal	Former smoker (control)	distal_epithelial_hyperM	0.877231636689118
buccal	Former smoker (control)	epithelial_hypoM	-1.21753110231138
buccal	Former smoker (control)	immune_hypoM	-1.20479303405311
buccal	Former smoker (control)	proximal_epithelial_hyperM	-0.27298459194148
buccal	Former smoker (control)	distal_epithelial_hyperM	0.799372780145097
buccal	Former smoker (control)	epithelial_hypoM	-0.917900767419799
buccal	Former smoker (control)	immune_hypoM	0.0828131725890315
buccal	Former smoker (control)	proximal_epithelial_hyperM	0.0446230575459151
buccal	Former smoker (control)	distal_epithelial_hyperM	-0.652184391185098
buccal	Former smoker (control)	epithelial_hypoM	-0.212037085953319
buccal	Former smoker (control)	immune_hypoM	0.547907653998827
buccal	Former smoker (control)	proximal_epithelial_hyperM	-0.496826259952462
buccal	Former smoker (control)	distal_epithelial_hyperM	-0.0862149143693965
buccal	Former smoker (control)	epithelial_hypoM	-0.394652824670587
buccal	Former smoker (control)	immune_hypoM	-0.134415986063775
buccal	Former smoker (control)	proximal_epithelial_hyperM	0.275418420982526
buccal	Former smoker (control)	distal_epithelial_hyperM	0.112152393957867
buccal	Former smoker (control)	epithelial_hypoM	0.77318507061657
buccal	Former smoker (control)	immune_hypoM	0.709712135746802
buccal	Former smoker (control)	proximal_epithelial_hyperM	0.324926115661905
buccal	Former smoker (control)	distal_epithelial_hyperM	0.496523504153807
buccal	Former smoker (control)	epithelial_hypoM	-0.984964329961968
buccal	Former smoker (control)	immune_hypoM	-0.100323323680571
buccal	Former smoker (control)	proximal_epithelial_hyperM	-0.502369495897623
buccal	Former smoker (control)	distal_epithelial_hyperM	-0.480944370205051
buccal	Former smoker (control)	epithelial_hypoM	0.286973782981393
buccal	Former smoker (control)	immune_hypoM	1.73975977205116
buccal	Former smoker (control)	proximal_epithelial_hyperM	-1.42468326729995
buccal	Former smoker (control)	distal_epithelial_hyperM	0.60884745752813
buccal	Former smoker (control)	epithelial_hypoM	-0.501227079730361
buccal	Former smoker (control)	immune_hypoM	-1.08091571570445
buccal	Former smoker (control)	proximal_epithelial_hyperM	0.694671749798111
buccal	Former smoker (control)	distal_epithelial_hyperM	0.229414860425147
buccal	Former smoker (control)	epithelial_hypoM	-0.902354119968176
buccal	Former smoker (control)	immune_hypoM	-0.393081110820244
buccal	Former smoker (control)	proximal_epithelial_hyperM	-1.05645644683124
buccal	Former smoker (control)	distal_epithelial_hyperM	0.925793874390023
buccal	Former smoker (control)	epithelial_hypoM	-1.04763797116534
buccal	Former smoker (control)	immune_hypoM	-1.0923937229302
buccal	Former smoker (control)	proximal_epithelial_hyperM	-0.478125439470898
buccal	Former smoker (control)	distal_epithelial_hyperM	0.426612977362873
buccal	Former smoker (control)	epithelial_hypoM	-1.17030987406471
buccal	Former smoker (control)	immune_hypoM	0.595075283092069
buccal	Former smoker (control)	proximal_epithelial_hyperM	-1.18316588263954
buccal	Former smoker (control)	distal_epithelial_hyperM	-0.497366145969875
buccal	Former smoker (control)	epithelial_hypoM	-0.761406602585069
buccal	Former smoker (control)	immune_hypoM	-0.976557349426035
buccal	Former smoker (control)	proximal_epithelial_hyperM	-0.556680409359583
buccal	Former smoker (control)	distal_epithelial_hyperM	-1.52998826498159
buccal	Former smoker (control)	epithelial_hypoM	-0.590107757856871
buccal	Former smoker (control)	immune_hypoM	0.357621390277168
buccal	Former smoker (control)	proximal_epithelial_hyperM	-1.38781093783926
buccal	Former smoker (control)	distal_epithelial_hyperM	0.817398191811876
buccal	Former smoker (control)	epithelial_hypoM	-0.256513072273899
buccal	Former smoker (control)	immune_hypoM	-0.977706079393078
buccal	Former smoker (control)	proximal_epithelial_hyperM	0.664551008919608
buccal	Former smoker (control)	distal_epithelial_hyperM	-0.774353249163147
buccal	Former smoker (control)	epithelial_hypoM	-0.013497023173421
buccal	Former smoker (control)	immune_hypoM	0.483698104748644
buccal	Former smoker (control)	proximal_epithelial_hyperM	-0.664570858768213
buccal	Former smoker (control)	distal_epithelial_hyperM	0.579992990296604
buccal	Former smoker (control)	epithelial_hypoM	-0.361391054901866
buccal	Former smoker (control)	immune_hypoM	-0.958117015609762
buccal	Former smoker (control)	proximal_epithelial_hyperM	0.368324119433181
buccal	Current smoker	distal_epithelial_hyperM	-0.0508724661833712
buccal	Current smoker	epithelial_hypoM	1.61493889397439
